cons1,cons2,cons3,cons4,cons5,cons6,cons7,cons8,cons9,cons10,cons11,cons12,label
0.844,2.814,1.029,0.537,0.569,0.691,0.431,0.046,0.069,0.113,0.039,0.029,1
0.493,2.753,1.201,0.359,0.706,0.485,0.294,0.026,0.041,0.06,0.021,0.017,1
0.313,2.824,0.916,0.294,0.8,0.431,0.2,0.011,0.019,0.035,0.007,0.005,1
0.243,2.941,0.982,0.264,0.82,0.376,0.18,0.014,0.02,0.032,0.01,0.008,1
0.218,1.521,1.55,0.554,0.446,0.583,0.554,0.01,0.025,0.034,0.01,0.01,1
0.092,2.941,0.914,0.186,0.87,0.334,0.13,0.005,0.01,0.017,0.003,0.002,1
0.531,2.449,0.875,0.362,0.749,0.537,0.251,0.018,0.031,0.049,0.01,0.004,1
0.118,2.941,0.939,0.218,0.842,0.346,0.159,0.01,0.016,0.026,0.007,0.005,1
-0.016,2.592,0.804,0.159,0.91,0.315,0.09,0.004,0.007,0.016,0.003,0.002,1
0.279,2.7,1.05,0.287,0.791,0.391,0.209,0.013,0.024,0.037,0.011,0.009,1
0.296,0.605,0.491,0.261,1,0.765,0,0.059,0.092,0.126,0.042,0.038,1
0.065,2.937,0.825,0.183,0.889,0.338,0.111,0.007,0.011,0.02,0.005,0.003,1
-0.504,1.43,1.125,0.128,0.898,0.17,0.102,0,0,0.004,0,0,1
0.237,2.826,1.123,0.248,0.814,0.42,0.188,0.014,0.028,0.043,0.011,0.01,1
0.024,2.296,0.693,0.157,0.931,0.245,0.069,0.003,0.003,0.006,0.003,0,1
1.1,2.727,1.281,0.673,0.41,0.759,0.59,0.054,0.092,0.111,0.044,0.032,1
0.611,2.287,1.308,0.52,0.526,0.599,0.474,0.026,0.049,0.076,0.02,0.02,1
-0.126,0.132,0.624,0,0.087,0,0,0,0,0,0,0,1
0.309,2.941,1.093,0.289,0.783,0.418,0.218,0.016,0.026,0.038,0.013,0.011,1
0.387,2.736,1.123,0.343,0.733,0.447,0.267,0.023,0.034,0.047,0.02,0.015,1
0.258,2.77,0.946,0.266,0.818,0.43,0.182,0.014,0.023,0.036,0.01,0.007,1
0.321,2.028,1.278,0.397,0.703,0.502,0.297,0.021,0.042,0.063,0.021,0.021,1
-0.113,2.322,0.825,0.126,0.899,0.253,0.101,0.003,0.005,0.007,0.002,0,1
0.461,2.7,1.164,0.37,0.712,0.474,0.288,0.015,0.031,0.047,0.012,0.01,1
0.444,2.251,1.009,0.419,0.683,0.541,0.317,0.02,0.041,0.054,0.015,0.012,1
0.874,2.732,1.079,0.532,0.563,0.654,0.437,0.039,0.066,0.089,0.031,0.025,1
0.482,2.669,1.053,0.357,0.745,0.463,0.255,0.027,0.037,0.056,0.021,0.018,1
0.217,2.868,0.857,0.19,0.873,0.383,0.127,0.009,0.015,0.025,0.007,0.006,1
0.944,2.366,1.082,0.572,0.478,0.678,0.522,0.079,0.096,0.127,0.05,0.048,1
0.649,2.543,1.538,0.471,0.559,0.531,0.441,0.024,0.059,0.078,0.018,0.018,1
-0.213,2.449,0.97,0.131,0.936,0.267,0.064,0.004,0.008,0.015,0.003,0.002,1
0.267,2.759,1.057,0.232,0.835,0.449,0.165,0.018,0.03,0.049,0.013,0.01,1
0.02,2.431,0.861,0.223,0.89,0.331,0.111,0.005,0.009,0.016,0.004,0.002,1
1.017,2.941,1.442,0.58,0.483,0.654,0.517,0.031,0.061,0.085,0.025,0.022,1
0.162,2.894,0.866,0.228,0.838,0.386,0.162,0.005,0.013,0.023,0.005,0.004,1
-0.063,2.118,0.927,0.154,0.921,0.33,0.081,0.01,0.018,0.03,0.007,0.005,1
0.426,2.906,1.076,0.342,0.74,0.465,0.26,0.031,0.041,0.061,0.025,0.021,1
1.088,2.677,1.286,0.572,0.492,0.674,0.508,0.058,0.08,0.11,0.052,0.046,1
0.065,2.482,0.688,0.104,0.93,0.226,0.07,0.003,0.006,0.011,0.002,0.001,1
-0.093,2.941,0.96,0.154,0.903,0.284,0.097,0.004,0.007,0.014,0.003,0.002,1
0.358,2.735,1.229,0.366,0.735,0.434,0.265,0.027,0.042,0.06,0.025,0.02,1
0.598,2.941,1.173,0.371,0.696,0.508,0.304,0.031,0.048,0.065,0.025,0.019,1
0.567,2.882,1.246,0.379,0.652,0.517,0.348,0.026,0.045,0.059,0.017,0.012,1
0.108,2.861,0.805,0.183,0.88,0.374,0.12,0.005,0.011,0.021,0.003,0.002,1
0.219,2.937,0.847,0.036,0.123,0.06,0.023,0.001,0.002,0.004,0.001,0.001,1
1.609,2.882,1.075,0.799,0.269,0.868,0.731,0.082,0.128,0.173,0.077,0.062,1
0.021,2.941,1.203,0.229,0.825,0.306,0.175,0.008,0.016,0.024,0.007,0.005,1
0.575,2.558,1.18,0.456,0.656,0.534,0.344,0.047,0.057,0.078,0.036,0.028,1
-0.045,2.814,0.821,0.09,0.413,0.152,0.029,0.002,0.004,0.008,0.001,0.001,1
0.116,2.937,0.869,0.16,0.71,0.246,0.1,0.004,0.008,0.014,0.003,0.002,1
0.008,2.816,0.781,0.155,0.893,0.285,0.107,0.002,0.005,0.01,0.001,0.001,1
0.72,2.941,1.177,0.453,0.602,0.613,0.399,0.044,0.063,0.085,0.032,0.024,1
0.05,1.092,0.624,0.037,0.999,0.463,0.002,0.021,0.03,0.048,0.014,0.008,1
