alu1,alu2,alu3,alu4,alu5,class
0,0,120,0.597015,0.074257,1
0.00007,0.000347,249,0.000758,0.000329,1
0.000075,0.000075,177,0.013187,0.000074,1
0,0,420,0.211587,0,1
0.000176,0.000878,396,0.069571,0.025821,1
0.000382,0.000764,405,0.154698,0,1
0,0,597,0.174103,0,1
0.000712,0,183,0.065125,0,1
0.000378,0.000189,129,0.012193,0.025045,1
0.000372,0.000213,159,0.00846,0.000053,1
0,0.000192,384,0.073591,0,1
0,0,207,0.065631,0,1
0,0,372,0.989362,0.045093,1
0,0.000652,390,0.050828,0,1
0,0,174,0.176471,0.035461,1
0,0.000412,111,0.045698,0,1
0.000084,0.000337,72,0.00202,0.000056,1
0.001121,0.000747,48,0.017931,0.019417,1
0,0.000207,513,0.106277,0.024234,1
0.001413,0.000707,408,0.288339,0.048729,1
0.00012,0.00012,27,0.003237,0.040043,1
0,0.000146,90,0.013123,0,1
0.000165,0.000289,90,0.003713,0.023144,1
0.000516,0,111,0.057246,0,1
0.000539,0.000245,252,0.012342,0.019688,1
0,0,1164,0.434653,0,1
0,0,204,0.990291,0,1
0.000313,0.000313,195,0.012198,0.025583,1
0.000837,0,372,0.155714,0,1
0,0.002058,432,0.888889,0,1
0,0,276,0.212308,0.025365,1
0,0,216,0.874494,0.048387,1
0,0,378,0.992126,0,1
0,0,126,0.186115,0,1
0.000109,0.000832,414,0.009059,0.000088,1
0.000266,0,264,0.070138,0,1
0.000541,0.00027,39,0.005273,0,1
0,0,234,0.455253,0,1
0,0.00039,444,0.017318,0.021413,1
0,0,525,0.986842,0.04878,1
0,0,51,0.255,0,1
0.000289,0.001589,138,0.019936,0,1
0.000888,0.000577,78,0.003463,0,1
0,0,177,0.22987,0,1
0.000098,0.000274,279,0.00109,0.022423,1
0,0,87,0.013385,0.000154,1
0,0,63,0.006768,0,1
0.000279,0,63,0.017578,0,1
0,0,108,0.457627,0,1
0.000167,0.000501,105,0.017526,0,1
0.00016,0.00016,66,0.010563,0.018883,1
0.001324,0.001059,327,0.086577,0,1
0,0,171,0.542857,0,1
0,0.003257,687,0.745928,0.036876,1
0,0,144,0.571429,0.059289,1
0.000517,0.000172,360,0.061994,0.031336,1
0.000339,0.000339,39,0.013229,0,1
0,0.000842,87,0.073232,0,1
0,0,147,0.082353,0.030235,1
0.000468,0.000468,102,0.009549,0.000094,1
0,0,33,0.117857,0.430605,1
0,0,189,0.163636,0.033737,1
0,0.000851,450,0.127623,0.032039,1
0,0,45,0.027473,0.020134,1
0.000338,0.000338,294,0.01242,0,1
0.000738,0,63,0.023239,0,1
0.000264,0.000739,363,0.019151,0.012503,1
0,0,66,0.183333,0,1
0,0,627,0.338188,0,1
0.000162,0.000162,108,0.01749,0.021535,1
0,0.000364,306,0.010138,0,1
0,0,189,0.309836,0,1
0.000263,0.000131,630,0.041347,0.022444,1
0,0,114,0.051748,0.052178,1
0,0,900,0.593276,0,1
0,0,165,0.311909,0.007547,1
0.000136,0.000068,279,0.019039,0,1
0,0.001541,354,0.272727,0,1
0,0.000147,129,0.018943,0.020849,1
0,0,195,0.0975,0.027986,1
0.000345,0.001036,93,0.032113,0.038661,1
0,0.002425,186,0.090204,0.01842,1
0,0,135,0.346154,0,1
0.000058,0.000754,447,0.025918,0.023017,1
0.000624,0.000234,36,0.002807,0.017309,1
0.000285,0.000285,129,0.036826,0.02968,1
0,0,414,0.601744,0,1
0.00015,0.00024,276,0.008281,0.00003,1
0,0.000742,894,0.221178,0,1
0,0,180,0.440098,0.026829,1
0.000091,0.000365,96,0.00875,0.02078,1
0.00034,0.00017,48,0.002723,0.020083,1
0,0.000723,57,0.010304,0,1
0,0,1818,0.526651,0.016797,1
0.001457,0,138,0.10051,0.032751,1
0,0,2145,0.454545,0.01928,1
0.000527,0,159,0.083772,0,1
0.000166,0.000665,219,0.036385,0,1
0.000386,0.000154,204,0.015749,0,1
0,0,636,0.485867,0,1
0,0.003353,306,0.205231,0.042225,1
0.000629,0.00021,186,0.019503,0.023904,1
0,0,336,0.684318,0.002033,1
0,0,18,0.054711,0,1
0,0.000226,165,0.037221,0.030898,1
0.000238,0.001294,66,0.002247,0.018314,1
0,0,111,0.029218,0,1
0,0,240,0.991736,0,1
0.000193,0.000387,888,0.171694,0.021844,1
0,0,204,0.985507,0.052885,1
0,0,189,0.027471,0.020346,1
0.000072,0.000143,84,0.006021,0.00043,1
0.000867,0.000805,147,0.009103,0,1
0,0,186,0.198083,0.019149,1
0.000126,0.000252,498,0.062847,0.030915,1
0,0,327,0.209213,0.027494,1
0,0,207,0.068204,0,1
0,0,234,0.936,0.039841,1
0,0,231,0.606299,0,1
0.000261,0.000261,345,0.089914,0.035435,1
0,0,180,0.11811,0.027541,1
0,0,2181,0.998626,0,1
0,0,54,0.235808,0,1
